TA-00002,2,2
TA-00004,4,2
TA-00005,5,1.6666666667
TA-00012,12,3
TA-00013,13,2.6
TA-00014,14,2.3333333333
TA-00021,21,3
TA-00022,22,2.75
TA-00024,24,2.6666666667
TA-00025,25,2.5
TA-00027,27,2.4545454545
TA-00028,28,2.3333333333
TA-00031,31,2.3846153846
TA-00034,34,2.4285714286
TA-00037,37,2.4666666667
TA-00046,46,2.875
TA-00047,47,2.7647058824
TA-00048,48,2.6666666667
TA-00052,52,2.7368421053
TA-00054,54,2.7
TA-00056,56,2.6666666667
TA-00058,58,2.6363636364
TA-00061,61,2.652173913
TA-00062,62,2.5833333333
TA-00063,63,2.52
TA-00064,64,2.4615384615
TA-00066,66,2.4444444444
TA-00068,68,2.4285714286
TA-00073,73,2.5172413793
TA-00076,76,2.5333333333
TA-00077,77,2.4838709677
TA-00078,78,2.4375
TA-00080,80,2.4242424242
TA-00082,82,2.4117647059
TA-00083,83,2.3714285714
TA-00084,84,2.3333333333
TA-00085,85,2.2972972973
TA-00086,86,2.2631578947
TA-00087,87,2.2307692308
TA-00088,88,2.2
TA-00091,91,2.2195121951
TA-00092,92,2.1904761905
TA-00093,93,2.1627906977
TA-00096,96,2.1818181818
TA-00099,99,2.2
TA-00101,101,2.1956521739
TA-00104,104,2.2127659574
TA-00105,105,2.1875
TA-00107,107,2.1836734694
TA-00108,108,2.16
TA-00114,114,2.2352941176
TA-00117,117,2.25
TA-00119,119,2.2452830189
TA-00120,120,2.2222222222
TA-00121,121,2.2
TA-00123,123,2.1964285714
TA-00125,125,2.1929824561
TA-00128,128,2.2068965517
TA-00130,130,2.2033898305
TA-00132,132,2.2
TA-00140,140,2.2950819672
TA-00141,141,2.2741935484
TA-00144,144,2.2857142857
TA-00145,145,2.265625
TA-00147,147,2.2615384615
TA-00148,148,2.2424242424
TA-00149,149,2.223880597
TA-00150,150,2.2058823529
TA-00153,153,2.2173913043
TA-00154,154,2.2
TA-00156,156,2.1971830986
TA-00157,157,2.1805555556
TA-00161,161,2.2054794521
TA-00162,162,2.1891891892
TA-00164,164,2.1866666667
TA-00165,165,2.1710526316
TA-00166,166,2.1558441558
TA-00168,168,2.1538461538
TA-00173,173,2.1898734177
TA-00175,175,2.1875
TA-00178,178,2.1975308642
TA-00180,180,2.1951219512
TA-00181,181,2.1807228916
